Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	12	7.741935483870968	7.803741211029815E-10	LAMA1, COL4A2, LAMA4, TNC, COL1A2, COL6A2, COL6A1, COL1A1, THBS1, THBS2, COL5A2, COL5A1	71	87	6910	13.423992229237493	1.1861685600411676E-7	1.1861685600411676E-7	9.34031119115275E-7
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	19	12.258064516129032	5.137307560112685E-9	CSF3, EGFR, FGF5, COL4A2, IL6, OSMR, TNC, LPAR3, COL5A2, COL5A1, LAMA1, LAMA4, COL1A2, COL6A2, CREB3L1, COL6A1, COL1A1, THBS1, THBS2	71	345	6910	5.3598693610941	7.808704491907292E-7	3.904353008676864E-7	6.148852260690063E-6
KEGG_PATHWAY	hsa04510:Focal adhesion	15	9.67741935483871	1.2491305025151975E-8	EGFR, COL4A2, TNC, COL5A2, COL5A1, MYL9, LAMA1, LAMA4, COL6A2, COL1A2, COL6A1, COL1A1, THBS1, THBS2, PARVA	71	206	6910	7.086694926842609	1.8986765678574713E-6	6.328925898912985E-7	1.4950863780338608E-5
KEGG_PATHWAY	hsa05146:Amoebiasis	10	6.451612903225806	9.97743180795904E-7	LAMA1, COL4A2, LAMA4, IL6, COL1A2, CXCL8, IL1B, COL1A1, COL5A2, COL5A1	71	106	6910	9.181504119053947	1.5164553978275208E-4	3.791354104609734E-5	0.0011941940248227922
KEGG_PATHWAY	hsa04974:Protein digestion and absorption	9	5.806451612903226	2.487069990120031E-6	COL4A2, COL1A2, COL6A2, MME, COL6A1, COL1A1, COL5A2, DPP4, COL5A1	71	88	6910	9.953585147247118	3.7796366232156764E-4	7.56041635791016E-5	0.0029767378208589435
KEGG_PATHWAY	hsa05144:Malaria	6	3.870967741935484	1.245943139326414E-4	CSF3, IL6, CXCL8, IL1B, THBS1, THBS2	71	49	6910	11.917217591261856	0.018761289937246017	0.0031516091572401095	0.14902529029325873
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	6	3.870967741935484	6.279131415774214E-4	PLAT, C3, F3, SERPINE1, CFH, BDKRB2	71	69	6910	8.46295162278016	0.09105689267314176	0.013546378548617732	0.748967545763024
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	6	3.870967741935484	0.0018870953138919113	IL6, CXCL5, CXCL8, IL1B, MMP3, MMP1	71	88	6910	6.635723431498079	0.24957042853711564	0.03525232093867403	2.2354369198019475
KEGG_PATHWAY	hsa05134:Legionellosis	5	3.225806451612903	0.0020856341719664	IL6, C3, CXCL3, CXCL8, IL1B	71	54	6910	9.011476264997391	0.27192225552896143	0.034646407038771754	2.4679418023577537
KEGG_PATHWAY	hsa05142:Chagas disease (American trypanosomiasis)	6	3.870967741935484	0.003910945092017377	IL6, C3, SERPINE1, CXCL8, IL1B, BDKRB2	71	104	6910	5.614842903575298	0.4487843412043482	0.05782374539913682	4.581904538979553
KEGG_PATHWAY	hsa04668:TNF signaling pathway	6	3.870967741935484	0.0042432790677424	IL6, CXCL3, CREB3L1, IL1B, MMP14, MMP3	71	106	6910	5.508902471432368	0.4760456482329233	0.057066158007829215	4.9622439095512005
KEGG_PATHWAY	hsa05200:Pathways in cancer	11	7.096774193548387	0.005847392191356073	EGFR, FGF5, LAMA1, COL4A2, LAMA4, IL6, CXCL8, LPAR3, BDKRB2, GLI2, MMP1	71	393	6910	2.724079848045013	0.5899238395599189	0.07159235029145272	6.778608022793964
KEGG_PATHWAY	hsa05133:Pertussis	5	3.225806451612903	0.006837274928283365	IL6, CXCL5, C3, CXCL8, IL1B	71	75	6910	6.488262910798123	0.6475459219350249	0.07708493779210057	7.883537326308354
KEGG_PATHWAY	hsa05219:Bladder cancer	4	2.5806451612903225	0.008059855785921301	EGFR, CXCL8, THBS1, MMP1	71	41	6910	9.49501889385091	0.7077254929711749	0.08411233563331577	9.231639879598896
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	5	3.225806451612903	0.01056254019526602	CSF3, IL6, MME, IL1B, ANPEP	71	85	6910	5.7249378624689315	0.8009193789547535	0.10201599893806035	11.935055924687743
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	7	4.516129032258064	0.02840278191836818	EGFR, CSF3, IL6, OSMR, CXCL8, IL1B, ACKR3	71	230	6910	2.9620330679730555	0.9874711294531184	0.23946449225913302	29.169083949017583
KEGG_PATHWAY	hsa05143:African trypanosomiasis	3	1.935483870967742	0.04365377307374294	LAMA4, IL6, IL1B	71	33	6910	8.84763124199744	0.9988688957993981	0.3290709067645464	41.388562031437374
KEGG_PATHWAY	hsa05132:Salmonella infection	4	2.5806451612903225	0.05149613889108758	IL6, CXCL3, CXCL8, IL1B	71	83	6910	4.690310537926353	0.9996764483080446	0.36010608257844157	46.88947146352659
KEGG_PATHWAY	hsa04350:TGF-beta signaling pathway	4	2.5806451612903225	0.053027788681103784	INHBA, FST, DCN, THBS1	71	84	6910	4.634473507712944	0.9997469189033539	0.3533074179615796	47.90693023271545
KEGG_PATHWAY	hsa04145:Phagosome	5	3.225806451612903	0.06894188032521194	C3, MRC2, COLEC12, THBS1, THBS2	71	153	6910	3.180521034704962	0.9999807481544452	0.4189364695871377	57.47124402475299
KEGG_PATHWAY	hsa00480:Glutathione metabolism	3	1.935483870967742	0.09396154591531465	GSTT2B, ANPEP, GPX8	71	51	6910	5.724937862468931	0.9999996936006639	0.5104204942801971	69.30361246993488
