Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
A1BG	980.97371	1196.1893	38.390370000000004	79.9608	4.6805	20.19474
A1BG-AS1	944.947	1099.25405	3.7654699999999997	21.01	1.8492400000000002	2.56537
A2ML1	40.59213	35.81726	50.15228	58.308980000000005	5.0450099999999996	23.14249
A4GALT	356.1266	948.405	111.0401	277.05026000000004	30.029970000000002	59.040040000000005
AAAS	6804.93882	10485.49632	7644.58436	10605.59263	4690.76598	4957.3595700000005
AACS	5417.75377	6000.59178	3057.8235600000003	3400.31075	1452.30985	1427.0380300000002
AACSP1	191.179	181.1528	27.8756	37.5874	22.480999999999998	22.6264
AADACL3	13.0758	19.712	6.0206599999999995	10.164	4.01	5.10623
AADAT	9.05981	151.47838000000002	17.4245	50.63939	100.3978	83.3272
AAED1	590.21661	974.7287	153.57747	295.3901	768.03901	697.38713
AAGAB	10515.3624	14616.976999999999	8711.02352	12741.174079999999	2888.79331	2688.53302
AAK1	5151.15977	9190.85961	4071.52075	7773.70503	3091.12195	3384.6873
AAMDC	745.25807	1110.73444	310.63673	419.14444	164.28089	144.89457
AAMP	9895.8447	14148.5604	15615.9451	21353.94257	4437.59955	4311.941510000001
AANAT	39.03972	98.1343	30.05958	73.9043	6.04082	22.04
AAR2	5203.4582	5775.4594	6307.685	6861.0123	2996.4266	2515.0309
AARD	49.9801	76.9535	61.4344	100.42399999999999	29.984	28.1124
AARS	103356.7856	61135.920289999995	25353.13916	39709.17538	8487.6759	11013.8596
AARS2	2703.33075	5458.99496	4286.9136	6503.30419	1561.33316	1648.01053
AARSD1	7618.46867	7379.34063	3442.6657	4742.62052	1191.8563	1272.2433800000001
AASDH	1127.1845	1260.6060300000001	828.92346	1483.70055	354.2673	347.03007
AASDHPPT	12189.2361	12143.84323	8536.06005	12325.3433	2156.82555	2019.9137899999998
AASS	73.7356	148.9633	660.309	1262.2024	334.8092	319.3974
AATBC	130.0675	70.1412	73.0258	91.3456	48.01999	46.09612
AATF	13011.93794	17678.571630000002	13044.234120000001	18002.92088	5547.2253	4737.81332
AB019441.29	45.5814	37.7074	27.3844	53.7395	9.08377	5.0522599999999995
ABALON	239.65099999999998	371.964	838.5269999999999	1459.93	43.3597	35.4635
ABAT	267.19277	296.79742000000005	196.38103999999998	221.94695	457.68253	313.38452
ABC7-42404400C24.1	53.7524	66.0691	55.4155	70.4913	7.781789999999999	12.4299
ABCA1	805.182	5797.20232	167.02138	1836.5160399999997	853.04437	1856.2133399999998
ABCA10	81.8282	77.64896999999999	46.08127	69.73571	6.825939999999999	5.57817
ABCA11P	559.0165	539.0488	114.4705	380.5736	88.85922	57.49815
ABCA13	29.7673	51.32399	15.20328	31.03267	2.16875	3.1477
ABCA17P	66.36206	157.2028	6.01	13.01	151.04962	176.3986
ABCA2	5444.03916	6008.50095	232.32097000000002	729.1705599999999	1090.2392300000001	1220.43816
ABCA3	1621.11635	1492.128	184.7481	156.1888	1962.2069	2277.89845
ABCA5	594.0009	623.70372	1605.53936	2316.64286	192.42371	182.26942
ABCA6	174.16	200.45344	62.263259999999995	69.4647	15.9964	24.05977
ABCA7	7275.051590000001	10799.145040000001	4258.35758	4795.38046	445.96039	448.82062
ABCA8	22.66	31.792790000000004	14.7043	11.679039999999999	7.414689999999999	2.47985
ABCA9	68.59577	74.5971	57.25139	69.6927	6.621510000000001	7.804889999999999
ABCB1	3.57809	14.01	80.02002	373.029	6.01	7.01
ABCB10	11006.9088	10790.1073	11422.7815	12686.1474	9618.6661	9443.09016
ABCB5	13.19684	13.437870000000002	14.2347	9.3273	1.1609	4.02926
ABCB6	108.45188	543.67823	6455.75009	12030.54383	1114.63672	1182.35804
ABCB7	5944.60127	7791.6648700000005	2520.0376899999997	2839.4214	1056.01109	1174.4198199999998
ABCB8	5675.41837	8576.57583	10909.6362	16736.46829	1798.8949	1813.4223100000002
ABCB9	1320.8459699999999	2042.2249399999998	820.08972	1487.6821	240.20394	276.40927
ABCC1	7402.03123	14192.40489	7250.9448299999995	10678.6975	9466.57063	9906.22875
ABCC10	2246.73048	2882.53701	2802.26976	3639.05226	794.17645	985.53755
ABCC11	196.78116	210.25900000000001	52.22688	45.3006	17.3664	11.15601
ABCC13	23.11919	21.94774	11.57677	18.90669	6.03329	9.57748
ABCC2	148.3373	121.8601	78.02793	220.31957000000003	21.01	50.01
ABCC3	25.24536	55.1816	19.26	42.7642	3.16365	7.333660000000001
ABCC4	6301.75634	4444.48905	1839.3099100000002	2169.769	1799.0107	1526.5108400000001
ABCC5	2481.97638	4244.80252	3328.66788	4632.469239999999	1812.95728	1794.7088
ABCC6	97.52563	113.43158999999999	65.08993000000001	110.12773	32.796459999999996	35.32582
ABCC9	585.423	1110.49261	356.195	562.6469999999999	124.53	140.498
ABCD1	2194.522	3636.2323	723.674	1428.8447800000001	969.1798	1359.6329
ABCD2	1437.08	1547.07	178.01	435.026	768.045	610.0419999999999
ABCD3	3578.95894	6567.197770000001	2443.05505	3986.48412	1261.9715	1133.35196
ABCD4	1848.73568	2005.53677	703.12478	986.62825	429.80397999999997	502.57496
ABCE1	26191.3466	32702.4426	23859.608119999997	34187.5261	13372.095879999999	12180.93911
ABCF1	18332.732640000002	31020.68147	14020.3106	19157.16084	6550.73708	6312.66226
ABCF2	14145.137009999999	18129.10657	20702.4182	29643.7995	11466.5009	10066.54225
ABCF3	8721.93859	9430.713029999999	6819.75125	8495.549159999999	2964.41572	2851.44
ABCG1	6384.8488	7147.67455	165.87354	748.8361	529.2611	1161.1229
ABCG2	3774.5559999999996	3922.1651	138.0202	75.01	1266.0388	615.45187
ABHD1	300.9359	209.5307	72.77044000000001	85.1605	41.87538	57.48069
ABHD10	1401.45576	1762.78	2759.8663	4702.7953	1222.2761699999999	1167.33183
ABHD11	2818.6309	3162.84961	2718.6820000000002	4253.24712	1066.90566	1134.55229
ABHD11-AS1	17.01	28.0401	27.0862	24.01	9.01195	6.01
ABHD12	14718.3872	12856.27972	19365.51127	22678.06485	4077.81066	4237.73813
ABHD12B	12.24132	16.42255	4.12256	27.9506	5.50243	1.10782
ABHD13	1343.33	1802.25	1965.71	2608.83	495.88	518.073
ABHD14A	2445.4141	2200.574	2027.43865	2989.0008	412.49805	548.10755
ABHD14A-ACY1	41.21128	42.9365	30.8115	59.46134	41.04387	32.2008
ABHD14B	19689.8397	16955.8807	6142.1726	7400.4188	1795.86404	1989.2737
ABHD15	2658.88	3173.0	2146.24	3269.7	1016.64	896.632
ABHD16A	6043.98831	7391.677490000001	4334.301579999999	5254.01785	976.95642	1005.89266
ABHD17A	5993.4298	13059.4111	11223.62632	19545.363999999998	2946.53964	3180.9395
ABHD17AP1	8.56226	9.23465	6.94751	12.8156	5.69975	4.54473
ABHD17B	4.45962	236.1389	3697.51	4533.65	1569.1070000000002	1569.116
ABHD17C	6772.92875	10547.43568	2507.4	4230.91534	1281.74	1325.32
ABHD18	2734.3112	2915.355	3077.6685	4516.67	848.0992	942.4634
ABHD2	16179.514009999999	17302.33148	47514.161889999996	37361.541560000005	4437.92519	3739.22718
ABHD3	23298.82415	10701.0344	9942.6984	12264.6924	2113.70043	1987.81335
ABHD4	2003.29545	2039.11935	4568.23357	5006.95957	1395.7605800000001	1187.64462
ABHD5	1701.3636600000002	2414.62853	1622.35021	1825.44204	318.06264	249.0343
ABHD6	3473.70876	4472.25391	1533.59531	3677.85921	425.06746	461.15223
ABHD8	1497.70548	2535.15943	1152.04241	2694.51	653.661	1176.87
ABI1	12448.24923	11466.58349	10499.8327	10121.2114	2924.25388	2670.5826
ABI2	6450.2624399999995	8303.4794	5429.19974	6754.13359	1869.09494	2364.28847
ABI3BP	162.70203	19157.7294	128.85662	4184.07435	41.29585	644.81317
ABL1	9390.222	13544.456	3631.6965	5004.072	3884.3596	4020.5429999999997
ABL2	6031.11626	10077.4453	5523.27202	8567.7616	3126.30658	3431.1013299999995
ABLIM1	16083.190230000002	12499.61784	7701.598440000001	6135.53853	2924.42787	3016.31856
ABLIM3	29.02999	2380.14336	6.01	518.0739	3.01	104.04998
ABO	169.425	148.986	43.9197	139.841	19.6951	28.4123
ABR	6268.64265	7623.77807	19554.48432	20673.089219999998	2399.25799	2158.0806
ABRACL	1858.7	3666.93	3103.04598	3524.62	1741.14	1519.55802
ABT1	5902.78	8301.88	5833.3	8029.24	2426.5	2318.4
ABTB1	1631.30773	1582.86736	1241.88585	1751.69087	281.74255	413.76268
ABTB2	633.01	1042.95	321.01	477.102	412.11699999999996	381.852
AC000036.4	15.0066	20.9884	12.046	10.8104	2.11056	2.0242299999999998
AC000068.5	148.24200000000002	64.3691	57.8451	79.1679	12.0595	22.2412
AC000099.1	6.26149	4.07883	2.01	3.0105	1.0100799999999999	1.01
AC000120.7	60.7652	38.5078	13.7533	16.7359	4.63722	4.20525
AC000123.2	264.117	339.778	449.083	380.67699999999996	163.267	162.145
AC000123.3	33.01	61.9758	26.406999999999996	77.5853	12.5171	18.1511
AC000123.4	60.01	76.0368	39.613	76.4347	14.5029	34.8689
AC000367.1	100.18299999999999	136.093	73.4106	83.6032	21.2524	25.1947
AC000403.1	5.02936	11.3442	4.01	5.11203	3.1156099999999998	1.03633
AC000403.4	110.01	121.26899999999999	33.0472	23.01	8.01	8.01
AC001226.7	3.01	15.0319	4.02884	12.01	2.01	1.01
AC002059.10	21.01	61.4058	9.026019999999999	48.01	5.01779	4.01
AC002069.5	326.365	442.455	168.81799999999998	477.274	5.2354199999999995	8.516589999999999
AC002116.7	99.0248	119.721	101.134	172.016	27.456999999999997	28.833000000000002
AC002117.1	46.2142	68.5171	24.469	48.3881	4.40393	5.90839
AC002127.4	4.01	8.01	3.01	3.01	1.01	4.27318
AC002306.1	16.9574	44.7428	11.0085	5.18486	1.02831	6.02102
AC002310.12	807.138	923.7031	148.322	291.1937	29.2132	52.5304
AC002310.14	195.093	243.15	120.01	129.01	61.0689	43.01
AC002310.17	12.3695	31.6685	6.21296	11.338	1.01862	2.2764599999999997
AC002310.7	30.9848	87.81631999999999	45.4629	55.70847	7.498410000000001	12.5552
AC002398.13	148.507	223.375	67.917	209.648	28.6587	66.4586
AC002398.9	317.69599999999997	202.717	271.802	350.44599999999997	63.0181	136.417
AC002429.5	64.872	75.9866	33.5549	20.4622	3.6122699999999996	6.0679099999999995
AC002451.3	32.3788	20.0778	16.0645	1.01	11.0994	6.01
AC002454.1	1.01	8.01	3.01	5.13419	9.064739999999999	6.04375
AC002467.7	361.6482	421.8626	310.259	199.5312	49.03	45.21525
AC002519.8	107.005	151.184	37.744	76.6424	6.14616	3.03437
AC002550.5	24.8524	45.7495	34.1675	55.1994	10.0871	7.6874
AC002550.6	19.01	14.01	20.01	34.0405	20.01	15.5787
AC002985.3	42.7485	13.00376	36.1887	15.8262	5.44804	4.129980000000001
AC003002.6	4.27303	23.0095	11.61165	13.5737	2.6650400000000003	6.912439999999999
AC003003.5	82.4689	69.6032	51.4462	31.5476	15.3443	19.2451
AC003075.4	14.23709	17.01269	34.08323	55.091730000000005	9.01	5.08216
AC003104.1	9.01	13.01	10.01	1.01	6.01	2.01
AC003664.1	8.78916	17.7993	4.74408	13.4323	1.0106600000000001	6.6227
AC003958.2	1.01284	4.03207	5.1349800000000005	2.0106	1.01	1.02731
AC003973.3	43.2496	40.8897	44.3922	36.7934	4.02543	7.04955
AC003973.4	15.64	3.09367	4.36986	17.4426	3.01	3.03396
AC003991.3	255.10562000000002	428.74682	131.4464	192.215	30.930659999999996	53.335980000000006
AC004009.2	2.2459599999999997	4.085780000000001	2.0108099999999998	1.0376	1.01	1.09731
AC004019.10	1.01027	5.01708	2.01258	5.0132699999999994	1.01	1.01024
AC004019.13	50.3489	42.41105	56.122659999999996	36.48291	10.1417	2.96443
AC004053.1	17.7459	4.12515	20.1877	1.31962	10.5663	6.36521
AC004057.1	14441.7	19528.4	19649.1	32256.2	11882.9	11475.0
AC004067.5	4.01	22.6954	34.01	29.01	3.01	9.01
AC004076.5	125.859	103.04	62.5958	132.476	33.4113	40.3399
AC004076.7	63.3805	58.891000000000005	25.3543	26.1414	5.45121	13.2726
AC004112.4	20.02	13.01	41.02	38.02	17.01	15.02
AC004156.3	463.14	329.48400000000004	122.869	143.239	34.1453	43.8362
AC004158.3	48.3566	46.93155	40.9795	68.9002	7.31128	12.86241
AC004231.2	7.054310000000001	7.769019999999999	3.06176	4.08124	1.01965	3.01
AC004237.1	196.46901	192.73269	165.65261999999998	168.21681999999998	15.95904	32.4201
AC004381.6	1597.2848099999999	3303.08955	1411.14337	2207.5041	207.83688	305.64144
AC004383.3	13.7153	6.01014	10.0154	7.99582	3.61489	2.0101400000000003
AC004386.4	20.645	28.3842	13.0293	7.79865	2.14498	1.53298
AC004448.5	58.5253	48.6504	26.772790000000004	55.05661	8.830860000000001	6.30026
